,term,term_d,rate
2012-06-26,0d,0.0,2.8221
2012-06-26,1m,0.08,2.3659
2012-06-26,2m,0.17,2.0906
2012-06-26,3m,0.25,2.081
2012-06-26,6m,0.5,2.1322
2012-06-26,9m,0.75,2.3377
2012-06-26,1y,1.0,2.3616
2012-06-26,2y,2.0,2.4078
2012-06-26,3y,3.0,2.602
2012-06-26,4y,4.0,2.7216
2012-06-26,5y,5.0,2.9631
2012-06-26,6y,6.0,3.1166
2012-06-26,7y,7.0,3.1602
2012-06-26,8y,8.0,3.3501
2012-06-26,9y,9.0,3.3631
2012-06-26,10y,10.0,3.3653
2012-06-26,15y,15.0,3.6607
2012-06-26,20y,20.0,3.9361
2012-06-26,30y,30.0,4.11
2012-06-26,40y,40.0,4.167
2012-06-26,50y,50.0,4.2422
