,term,term_d,rate
2012-07-20,0d,0.0,2.0717
2012-07-20,1m,0.08,2.0758
2012-07-20,2m,0.17,2.0798
2012-07-20,3m,0.25,2.0893
2012-07-20,6m,0.5,2.1442
2012-07-20,9m,0.75,2.2231
2012-07-20,1y,1.0,2.2699
2012-07-20,2y,2.0,2.2934
2012-07-20,3y,3.0,2.3848
2012-07-20,4y,4.0,2.6161
2012-07-20,5y,5.0,2.8045
2012-07-20,6y,6.0,3.0013
2012-07-20,7y,7.0,3.0574
2012-07-20,8y,8.0,3.2586
2012-07-20,9y,9.0,3.2775
2012-07-20,10y,10.0,3.281
2012-07-20,15y,15.0,3.6147
2012-07-20,20y,20.0,3.8958
2012-07-20,30y,30.0,4.0981
2012-07-20,40y,40.0,4.1598
2012-07-20,50y,50.0,4.2321
