,term,term_d,rate
2011-06-24,0d,0.0,4.8968
2011-06-24,1m,0.08,4.0612
2011-06-24,2m,0.17,3.5598
2011-06-24,3m,0.25,3.5736
2011-06-24,6m,0.5,3.58
2011-06-24,9m,0.75,3.5821
2011-06-24,1y,1.0,3.5903
2011-06-24,2y,2.0,3.5822
2011-06-24,3y,3.0,3.4947
2011-06-24,4y,4.0,3.5207
2011-06-24,5y,5.0,3.5823
2011-06-24,6y,6.0,3.6569
2011-06-24,7y,7.0,3.7722
2011-06-24,8y,8.0,3.8606
2011-06-24,9y,9.0,3.8892
2011-06-24,10y,10.0,3.8963
2011-06-24,15y,15.0,4.1176
2011-06-24,20y,20.0,4.2948
2011-06-24,30y,30.0,4.4958
2011-06-24,40y,40.0,4.5483
2011-06-24,50y,50.0,4.6078
