,term,term_d,rate
2011-07-01,0d,0.0,2.5763
2011-07-01,1m,0.08,3.0489
2011-07-01,2m,0.17,3.3392
2011-07-01,3m,0.25,3.3477
2011-07-01,6m,0.5,3.35
2011-07-01,9m,0.75,3.3533
2011-07-01,1y,1.0,3.432
2011-07-01,2y,2.0,3.4448
2011-07-01,3y,3.0,3.4104
2011-07-01,4y,4.0,3.4697
2011-07-01,5y,5.0,3.5339
2011-07-01,6y,6.0,3.6632
2011-07-01,7y,7.0,3.7102
2011-07-01,8y,8.0,3.8119
2011-07-01,9y,9.0,3.8575
2011-07-01,10y,10.0,3.8775
2011-07-01,15y,15.0,4.0877
2011-07-01,20y,20.0,4.2828
2011-07-01,30y,30.0,4.4983
2011-07-01,40y,40.0,4.5505
2011-07-01,50y,50.0,4.6106
