,term,term_d,rate
2013-06-25,0d,0.0,4.2524
2013-06-25,1m,0.08,5.1389
2013-06-25,2m,0.17,5.265
2013-06-25,3m,0.25,4.8151
2013-06-25,6m,0.5,4.3744
2013-06-25,9m,0.75,3.8951
2013-06-25,1y,1.0,3.6504
2013-06-25,2y,2.0,3.5794
2013-06-25,3y,3.0,3.4617
2013-06-25,4y,4.0,3.5111
2013-06-25,5y,5.0,3.5108
2013-06-25,6y,6.0,3.5796
2013-06-25,7y,7.0,3.5555
2013-06-25,8y,8.0,3.5756
2013-06-25,9y,9.0,3.6180000000000003
2013-06-25,10y,10.0,3.5999
2013-06-25,15y,15.0,3.7926
2013-06-25,20y,20.0,4.0075
2013-06-25,30y,30.0,4.1388
2013-06-25,40y,40.0,4.2174
2013-06-25,50y,50.0,4.2621
