,term,term_d,rate
2014-05-14,0d,0.0,1.5433
2014-05-14,1m,0.08,2.512
2014-05-14,2m,0.17,2.9392
2014-05-14,3m,0.25,3.0012
2014-05-14,6m,0.5,3.4019
2014-05-14,9m,0.75,3.5058
2014-05-14,1y,1.0,3.5132
2014-05-14,2y,2.0,3.6822
2014-05-14,3y,3.0,3.9464
2014-05-14,4y,4.0,3.9936
2014-05-14,5y,5.0,4.0424
2014-05-14,6y,6.0,4.0575
2014-05-14,7y,7.0,4.084
2014-05-14,8y,8.0,4.1311
2014-05-14,9y,9.0,4.1702
2014-05-14,10y,10.0,4.1704
2014-05-14,15y,15.0,4.3967
2014-05-14,20y,20.0,4.6087
2014-05-14,30y,30.0,4.7245
2014-05-14,40y,40.0,4.8116
2014-05-14,50y,50.0,4.8633
