,term,term_d,rate
2012-08-21,0d,0.0,2.4346
2012-08-21,1m,0.08,2.5115
2012-08-21,2m,0.17,2.5884
2012-08-21,3m,0.25,2.6216
2012-08-21,6m,0.5,2.633
2012-08-21,9m,0.75,2.5798
2012-08-21,1y,1.0,2.5566
2012-08-21,2y,2.0,2.7987
2012-08-21,3y,3.0,2.8905
2012-08-21,4y,4.0,2.9369
2012-08-21,5y,5.0,3.0972
2012-08-21,6y,6.0,3.168
2012-08-21,7y,7.0,3.2796
2012-08-21,8y,8.0,3.3289999999999997
2012-08-21,9y,9.0,3.3512
2012-08-21,10y,10.0,3.3578
2012-08-21,15y,15.0,3.6585
2012-08-21,20y,20.0,3.93
2012-08-21,30y,30.0,4.1517
2012-08-21,40y,40.0,4.1844
2012-08-21,50y,50.0,4.2478
