,term,term_d,rate
2015-03-27,0d,0.0,2.4907
2015-03-27,1m,0.08,3.58
2015-03-27,2m,0.17,3.3172
2015-03-27,3m,0.25,3.2736
2015-03-27,6m,0.5,3.1685
2015-03-27,9m,0.75,3.1652
2015-03-27,1y,1.0,3.1833
2015-03-27,2y,2.0,3.215
2015-03-27,3y,3.0,3.2466
2015-03-27,4y,4.0,3.3244
2015-03-27,5y,5.0,3.4271
2015-03-27,6y,6.0,3.464
2015-03-27,7y,7.0,3.4838
2015-03-27,8y,8.0,3.5145
2015-03-27,9y,9.0,3.5407
2015-03-27,10y,10.0,3.5678
2015-03-27,15y,15.0,3.8051
2015-03-27,20y,20.0,4.0384
2015-03-27,30y,30.0,4.211
2015-03-27,40y,40.0,4.2972
2015-03-27,50y,50.0,4.3511
