,term,term_d,rate
2011-05-12,0d,0.0,1.546
2011-05-12,1m,0.08,2.1299
2011-05-12,2m,0.17,2.5429
2011-05-12,3m,0.25,2.5954
2011-05-12,6m,0.5,2.7367
2011-05-12,9m,0.75,2.8175
2011-05-12,1y,1.0,2.9065
2011-05-12,2y,2.0,3.1072
2011-05-12,3y,3.0,3.2676
2011-05-12,4y,4.0,3.3714
2011-05-12,5y,5.0,3.4215
2011-05-12,6y,6.0,3.6026
2011-05-12,7y,7.0,3.6326
2011-05-12,8y,8.0,3.7405
2011-05-12,9y,9.0,3.792
2011-05-12,10y,10.0,3.8211
2011-05-12,15y,15.0,4.0192
2011-05-12,20y,20.0,4.1246
2011-05-12,30y,30.0,4.2619
2011-05-12,40y,40.0,4.3411
2011-05-12,50y,50.0,4.405
