,term,term_d,rate
2011-10-20,0d,0.0,2.2873
2011-10-20,1m,0.08,2.7308
2011-10-20,2m,0.17,3.0341
2011-10-20,3m,0.25,3.0651
2011-10-20,6m,0.5,3.102
2011-10-20,9m,0.75,3.1287
2011-10-20,1y,1.0,3.1412
2011-10-20,2y,2.0,3.4025
2011-10-20,3y,3.0,3.4764
2011-10-20,4y,4.0,3.5471
2011-10-20,5y,5.0,3.585
2011-10-20,6y,6.0,3.6631
2011-10-20,7y,7.0,3.6696
2011-10-20,8y,8.0,3.7101
2011-10-20,9y,9.0,3.7221
2011-10-20,10y,10.0,3.7266
2011-10-20,15y,15.0,4.0382
2011-10-20,20y,20.0,4.1943
2011-10-20,30y,30.0,4.27
2011-10-20,40y,40.0,4.3819
2011-10-20,50y,50.0,4.4756
