,term,term_d,rate
2012-05-25,0d,0.0,1.1396
2012-05-25,1m,0.08,1.7426
2012-05-25,2m,0.17,2.1432
2012-05-25,3m,0.25,2.1756
2012-05-25,6m,0.5,2.1825
2012-05-25,9m,0.75,2.1866
2012-05-25,1y,1.0,2.2347
2012-05-25,2y,2.0,2.4184
2012-05-25,3y,3.0,2.4544
2012-05-25,4y,4.0,2.5917
2012-05-25,5y,5.0,2.6454
2012-05-25,6y,6.0,3.036
2012-05-25,7y,7.0,3.1186
2012-05-25,8y,8.0,3.2894
2012-05-25,9y,9.0,3.2991
2012-05-25,10y,10.0,3.3019
2012-05-25,15y,15.0,3.6498
2012-05-25,20y,20.0,3.9252
2012-05-25,30y,30.0,4.091
2012-05-25,40y,40.0,4.1729
2012-05-25,50y,50.0,4.2469
