,term,term_d,rate
2011-02-22,0d,0.0,1.4914
2011-02-22,1m,0.08,2.3229
2011-02-22,2m,0.17,2.8777
2011-02-22,3m,0.25,2.9244
2011-02-22,6m,0.5,2.9762
2011-02-22,9m,0.75,3.0286
2011-02-22,1y,1.0,3.12
2011-02-22,2y,2.0,3.2881
2011-02-22,3y,3.0,3.4372
2011-02-22,4y,4.0,3.571
2011-02-22,5y,5.0,3.6753
2011-02-22,6y,6.0,3.84
2011-02-22,7y,7.0,3.8702
2011-02-22,8y,8.0,3.9357
2011-02-22,9y,9.0,3.9889
2011-02-22,10y,10.0,4.04
2011-02-22,15y,15.0,4.1799
2011-02-22,20y,20.0,4.2528
2011-02-22,30y,30.0,4.3476
2011-02-22,40y,40.0,4.3996
2011-02-22,50y,50.0,4.4652
