,term,term_d,rate
2011-09-02,0d,0.0,2.5771
2011-09-02,1m,0.08,2.9587
2011-09-02,2m,0.17,3.3403
2011-09-02,3m,0.25,3.5943
2011-09-02,6m,0.5,3.8232
2011-09-02,9m,0.75,3.8721
2011-09-02,1y,1.0,3.897
2011-09-02,2y,2.0,3.8673
2011-09-02,3y,3.0,3.8717
2011-09-02,4y,4.0,3.9102
2011-09-02,5y,5.0,3.9559
2011-09-02,6y,6.0,4.0117
2011-09-02,7y,7.0,4.0218
2011-09-02,8y,8.0,4.0653
2011-09-02,9y,9.0,4.0693
2011-09-02,10y,10.0,4.07
2011-09-02,15y,15.0,4.2552
2011-09-02,20y,20.0,4.4609
2011-09-02,30y,30.0,4.5144
2011-09-02,40y,40.0,4.6139
2011-09-02,50y,50.0,4.7056
