,term,term_d,rate
2011-07-22,0d,0.0,4.3839
2011-07-22,1m,0.08,3.694
2011-07-22,2m,0.17,3.28
2011-07-22,3m,0.25,3.3379
2011-07-22,6m,0.5,3.6081
2011-07-22,9m,0.75,3.7502
2011-07-22,1y,1.0,3.8275
2011-07-22,2y,2.0,3.6954
2011-07-22,3y,3.0,3.7564
2011-07-22,4y,4.0,3.7748
2011-07-22,5y,5.0,3.7968
2011-07-22,6y,6.0,3.8966
2011-07-22,7y,7.0,3.9933
2011-07-22,8y,8.0,4.0401
2011-07-22,9y,9.0,4.0601
2011-07-22,10y,10.0,4.0671
2011-07-22,15y,15.0,4.2256
2011-07-22,20y,20.0,4.3983
2011-07-22,30y,30.0,4.5416
2011-07-22,40y,40.0,4.628
2011-07-22,50y,50.0,4.688
