,term,term_d,rate
2011-11-28,0d,0.0,2.7036
2011-11-28,1m,0.08,2.6861
2011-11-28,2m,0.17,2.6756
2011-11-28,3m,0.25,2.6785
2011-11-28,6m,0.5,2.6802
2011-11-28,9m,0.75,2.6764
2011-11-28,1y,1.0,2.7215
2011-11-28,2y,2.0,2.9957
2011-11-28,3y,3.0,3.1012
2011-11-28,4y,4.0,3.2983
2011-11-28,5y,5.0,3.3353
2011-11-28,6y,6.0,3.4896
2011-11-28,7y,7.0,3.5358
2011-11-28,8y,8.0,3.5951
2011-11-28,9y,9.0,3.6319999999999997
2011-11-28,10y,10.0,3.6402
2011-11-28,15y,15.0,3.8914
2011-11-28,20y,20.0,4.0655
2011-11-28,30y,30.0,4.1593
2011-11-28,40y,40.0,4.2545
2011-11-28,50y,50.0,4.3385
