,term,term_d,rate
2013-12-04,0d,0.0,2.8832
2013-12-04,1m,0.08,4.6498
2013-12-04,2m,0.17,4.36
2013-12-04,3m,0.25,4.4329
2013-12-04,6m,0.5,4.1105
2013-12-04,9m,0.75,4.1138
2013-12-04,1y,1.0,4.0029
2013-12-04,2y,2.0,4.2006
2013-12-04,3y,3.0,4.3045
2013-12-04,4y,4.0,4.3696
2013-12-04,5y,5.0,4.3419
2013-12-04,6y,6.0,4.4786
2013-12-04,7y,7.0,4.4513
2013-12-04,8y,8.0,4.487
2013-12-04,9y,9.0,4.473
2013-12-04,10y,10.0,4.4262
2013-12-04,15y,15.0,4.6632
2013-12-04,20y,20.0,4.8764
2013-12-04,30y,30.0,4.9444
2013-12-04,40y,40.0,5.0719
2013-12-04,50y,50.0,5.1368
