,term,term_d,rate
2015-06-26,0d,0.0,1.1503
2015-06-26,1m,0.08,2.4715
2015-06-26,2m,0.17,1.758
2015-06-26,3m,0.25,1.8151
2015-06-26,6m,0.5,1.8485
2015-06-26,9m,0.75,1.7915
2015-06-26,1y,1.0,1.7628
2015-06-26,2y,2.0,2.3226
2015-06-26,3y,3.0,2.8662
2015-06-26,4y,4.0,3.1162
2015-06-26,5y,5.0,3.2134
2015-06-26,6y,6.0,3.3998
2015-06-26,7y,7.0,3.5322
2015-06-26,8y,8.0,3.5785
2015-06-26,9y,9.0,3.5951
2015-06-26,10y,10.0,3.608
2015-06-26,15y,15.0,3.7739
2015-06-26,20y,20.0,3.9575
2015-06-26,30y,30.0,4.053999999999999
2015-06-26,40y,40.0,4.1096
2015-06-26,50y,50.0,4.1504
