,term,term_d,rate
2011-09-06,0d,0.0,2.0938
2011-09-06,1m,0.08,2.7907
2011-09-06,2m,0.17,3.3753
2011-09-06,3m,0.25,3.6135
2011-09-06,6m,0.5,3.7976
2011-09-06,9m,0.75,3.8276
2011-09-06,1y,1.0,3.8675
2011-09-06,2y,2.0,3.8685
2011-09-06,3y,3.0,3.8607
2011-09-06,4y,4.0,3.8764
2011-09-06,5y,5.0,3.8814
2011-09-06,6y,6.0,3.969
2011-09-06,7y,7.0,3.9782
2011-09-06,8y,8.0,4.0045
2011-09-06,9y,9.0,4.0187
2011-09-06,10y,10.0,4.0107
2011-09-06,15y,15.0,4.2302
2011-09-06,20y,20.0,4.4359
2011-09-06,30y,30.0,4.4984
2011-09-06,40y,40.0,4.5979
2011-09-06,50y,50.0,4.6896
