,term,term_d,rate
2014-04-01,0d,0.0,1.9127
2014-04-01,1m,0.08,3.0937
2014-04-01,2m,0.17,3.0536
2014-04-01,3m,0.25,2.9125
2014-04-01,6m,0.5,2.8483
2014-04-01,9m,0.75,2.8684
2014-04-01,1y,1.0,3.0892
2014-04-01,2y,2.0,3.4255
2014-04-01,3y,3.0,3.863
2014-04-01,4y,4.0,4.2076
2014-04-01,5y,5.0,4.1619
2014-04-01,6y,6.0,4.4757
2014-04-01,7y,7.0,4.3539
2014-04-01,8y,8.0,4.423
2014-04-01,9y,9.0,4.4762
2014-04-01,10y,10.0,4.4954
2014-04-01,15y,15.0,4.7315
2014-04-01,20y,20.0,4.957
2014-04-01,30y,30.0,5.0568
2014-04-01,40y,40.0,5.1399
2014-04-01,50y,50.0,5.1941
