,term,term_d,rate
2013-01-29,0d,0.0,1.3046
2013-01-29,1m,0.08,2.1159
2013-01-29,2m,0.17,2.6332
2013-01-29,3m,0.25,2.6744
2013-01-29,6m,0.5,2.7276
2013-01-29,9m,0.75,2.7875
2013-01-29,1y,1.0,2.8226
2013-01-29,2y,2.0,3.0406
2013-01-29,3y,3.0,3.1129
2013-01-29,4y,4.0,3.2202
2013-01-29,5y,5.0,3.2627
2013-01-29,6y,6.0,3.4444
2013-01-29,7y,7.0,3.4955
2013-01-29,8y,8.0,3.5260000000000002
2013-01-29,9y,9.0,3.5576
2013-01-29,10y,10.0,3.6116
2013-01-29,15y,15.0,3.8769
2013-01-29,20y,20.0,4.118
2013-01-29,30y,30.0,4.2139999999999995
2013-01-29,40y,40.0,4.3008
2013-01-29,50y,50.0,4.359
