,term,term_d,rate
2011-07-28,0d,0.0,2.7239
2011-07-28,1m,0.08,2.9721
2011-07-28,2m,0.17,3.2202
2011-07-28,3m,0.25,3.3381
2011-07-28,6m,0.5,3.6167
2011-07-28,9m,0.75,3.7291
2011-07-28,1y,1.0,3.7393
2011-07-28,2y,2.0,3.7319999999999998
2011-07-28,3y,3.0,3.7307
2011-07-28,4y,4.0,3.7665
2011-07-28,5y,5.0,3.8118
2011-07-28,6y,6.0,3.8995
2011-07-28,7y,7.0,3.9574
2011-07-28,8y,8.0,4.0281
2011-07-28,9y,9.0,4.0697
2011-07-28,10y,10.0,4.0627
2011-07-28,15y,15.0,4.2577
2011-07-28,20y,20.0,4.4729
2011-07-28,30y,30.0,4.5812
2011-07-28,40y,40.0,4.6676
2011-07-28,50y,50.0,4.7276
