,term,term_d,rate
2013-09-10,0d,0.0,2.1551
2013-09-10,1m,0.08,3.7721
2013-09-10,2m,0.17,3.7216
2013-09-10,3m,0.25,3.6621
2013-09-10,6m,0.5,3.5969
2013-09-10,9m,0.75,3.5984
2013-09-10,1y,1.0,3.6106
2013-09-10,2y,2.0,3.9005
2013-09-10,3y,3.0,3.9573
2013-09-10,4y,4.0,3.9855
2013-09-10,5y,5.0,3.9974
2013-09-10,6y,6.0,4.06
2013-09-10,7y,7.0,4.0693
2013-09-10,8y,8.0,4.0607
2013-09-10,9y,9.0,4.0846
2013-09-10,10y,10.0,4.065
2013-09-10,15y,15.0,4.1478
2013-09-10,20y,20.0,4.3506
2013-09-10,30y,30.0,4.3728
2013-09-10,40y,40.0,4.3891
2013-09-10,50y,50.0,4.409
