,term,term_d,rate
2012-10-23,0d,0.0,1.5393
2012-10-23,1m,0.08,2.1314
2012-10-23,2m,0.17,2.7065
2012-10-23,3m,0.25,2.8994
2012-10-23,6m,0.5,2.821
2012-10-23,9m,0.75,2.8228
2012-10-23,1y,1.0,2.9061
2012-10-23,2y,2.0,2.9731
2012-10-23,3y,3.0,3.0597
2012-10-23,4y,4.0,3.1827
2012-10-23,5y,5.0,3.2133
2012-10-23,6y,6.0,3.3564
2012-10-23,7y,7.0,3.4684
2012-10-23,8y,8.0,3.4871
2012-10-23,9y,9.0,3.5109
2012-10-23,10y,10.0,3.5454
2012-10-23,15y,15.0,3.8413
2012-10-23,20y,20.0,4.1172
2012-10-23,30y,30.0,4.2059
2012-10-23,40y,40.0,4.2763
2012-10-23,50y,50.0,4.3186
