,term,term_d,rate
2014-11-26,0d,0.0,2.1427
2014-11-26,1m,0.08,3.2244
2014-11-26,2m,0.17,3.1056
2014-11-26,3m,0.25,3.1197
2014-11-26,6m,0.5,3.0741
2014-11-26,9m,0.75,3.0181
2014-11-26,1y,1.0,3.0302
2014-11-26,2y,2.0,3.1538
2014-11-26,3y,3.0,3.2725
2014-11-26,4y,4.0,3.3454
2014-11-26,5y,5.0,3.4002
2014-11-26,6y,6.0,3.4447
2014-11-26,7y,7.0,3.477
2014-11-26,8y,8.0,3.4996
2014-11-26,9y,9.0,3.5098
2014-11-26,10y,10.0,3.5228
2014-11-26,15y,15.0,3.7406
2014-11-26,20y,20.0,3.9305
2014-11-26,30y,30.0,4.0208
2014-11-26,40y,40.0,4.0843
2014-11-26,50y,50.0,4.1385
