,term,term_d,rate
2013-03-11,0d,0.0,1.3862
2013-03-11,1m,0.08,2.2054
2013-03-11,2m,0.17,2.7185
2013-03-11,3m,0.25,2.7345
2013-03-11,6m,0.5,2.7438
2013-03-11,9m,0.75,2.7441
2013-03-11,1y,1.0,2.7719
2013-03-11,2y,2.0,3.0567
2013-03-11,3y,3.0,3.1119
2013-03-11,4y,4.0,3.2819
2013-03-11,5y,5.0,3.2976
2013-03-11,6y,6.0,3.4557
2013-03-11,7y,7.0,3.4827
2013-03-11,8y,8.0,3.5241
2013-03-11,9y,9.0,3.5559
2013-03-11,10y,10.0,3.583
2013-03-11,15y,15.0,3.8517
2013-03-11,20y,20.0,4.0972
2013-03-11,30y,30.0,4.1993
2013-03-11,40y,40.0,4.2804
2013-03-11,50y,50.0,4.3441
