,term,term_d,rate
2011-12-02,0d,0.0,1.9684
2011-12-02,1m,0.08,2.3189
2011-12-02,2m,0.17,2.5307
2011-12-02,3m,0.25,2.5313
2011-12-02,6m,0.5,2.5377
2011-12-02,9m,0.75,2.5446
2011-12-02,1y,1.0,2.6334
2011-12-02,2y,2.0,2.8234
2011-12-02,3y,3.0,2.9351
2011-12-02,4y,4.0,3.0406
2011-12-02,5y,5.0,3.0515
2011-12-02,6y,6.0,3.3113
2011-12-02,7y,7.0,3.3687
2011-12-02,8y,8.0,3.4583
2011-12-02,9y,9.0,3.4760000000000004
2011-12-02,10y,10.0,3.472
2011-12-02,15y,15.0,3.7717
2011-12-02,20y,20.0,3.9604
2011-12-02,30y,30.0,4.0508
2011-12-02,40y,40.0,4.1423
2011-12-02,50y,50.0,4.2362
