,term,term_d,rate
2015-03-31,0d,0.0,2.4677
2015-03-31,1m,0.08,3.5895
2015-03-31,2m,0.17,3.3345
2015-03-31,3m,0.25,3.2673
2015-03-31,6m,0.5,3.1724
2015-03-31,9m,0.75,3.1701
2015-03-31,1y,1.0,3.2236
2015-03-31,2y,2.0,3.2651
2015-03-31,3y,3.0,3.3066
2015-03-31,4y,4.0,3.3765
2015-03-31,5y,5.0,3.4625
2015-03-31,6y,6.0,3.5452
2015-03-31,7y,7.0,3.6047
2015-03-31,8y,8.0,3.6306
2015-03-31,9y,9.0,3.6392
2015-03-31,10y,10.0,3.6483
2015-03-31,15y,15.0,3.8856
2015-03-31,20y,20.0,4.1189
2015-03-31,30y,30.0,4.2281
2015-03-31,40y,40.0,4.3143
2015-03-31,50y,50.0,4.3682
