,term,term_d,rate
2014-07-10,0d,0.0,2.4267
2014-07-10,1m,0.08,2.8348
2014-07-10,2m,0.17,3.1439
2014-07-10,3m,0.25,3.1683
2014-07-10,6m,0.5,3.2172
2014-07-10,9m,0.75,3.3816
2014-07-10,1y,1.0,3.5115
2014-07-10,2y,2.0,3.698
2014-07-10,3y,3.0,3.858
2014-07-10,4y,4.0,3.9185
2014-07-10,5y,5.0,3.9529
2014-07-10,6y,6.0,3.9939999999999998
2014-07-10,7y,7.0,4.0918
2014-07-10,8y,8.0,4.1072
2014-07-10,9y,9.0,4.1161
2014-07-10,10y,10.0,4.1298
2014-07-10,15y,15.0,4.3214
2014-07-10,20y,20.0,4.5034
2014-07-10,30y,30.0,4.6483
2014-07-10,40y,40.0,4.7459
2014-07-10,50y,50.0,4.7901
