,term,term_d,rate
2011-08-19,0d,0.0,2.7855
2011-08-19,1m,0.08,2.9121
2011-08-19,2m,0.17,3.0387
2011-08-19,3m,0.25,3.2492
2011-08-19,6m,0.5,3.5285
2011-08-19,9m,0.75,3.5639999999999996
2011-08-19,1y,1.0,3.6475
2011-08-19,2y,2.0,3.6517
2011-08-19,3y,3.0,3.6536
2011-08-19,4y,4.0,3.7313
2011-08-19,5y,5.0,3.7921
2011-08-19,6y,6.0,3.86
2011-08-19,7y,7.0,3.8757
2011-08-19,8y,8.0,3.9019
2011-08-19,9y,9.0,3.9191
2011-08-19,10y,10.0,3.9331
2011-08-19,15y,15.0,4.1829
2011-08-19,20y,20.0,4.3886
2011-08-19,30y,30.0,4.5069
2011-08-19,40y,40.0,4.6185
2011-08-19,50y,50.0,4.6939
