,term,term_d,rate
2011-12-19,0d,0.0,1.8024
2011-12-19,1m,0.08,2.2913
2011-12-19,2m,0.17,2.6075
2011-12-19,3m,0.25,2.6265
2011-12-19,6m,0.5,2.5743
2011-12-19,9m,0.75,2.6314
2011-12-19,1y,1.0,2.7127
2011-12-19,2y,2.0,2.8406
2011-12-19,3y,3.0,2.9173
2011-12-19,4y,4.0,3.0363
2011-12-19,5y,5.0,3.0937
2011-12-19,6y,6.0,3.3546
2011-12-19,7y,7.0,3.3613
2011-12-19,8y,8.0,3.4453
2011-12-19,9y,9.0,3.47
2011-12-19,10y,10.0,3.4702
2011-12-19,15y,15.0,3.7313
2011-12-19,20y,20.0,3.9547
2011-12-19,30y,30.0,4.0672
2011-12-19,40y,40.0,4.1564
2011-12-19,50y,50.0,4.2465
