,term,term_d,rate
2014-03-04,0d,0.0,1.0937
2014-03-04,1m,0.08,3.193
2014-03-04,2m,0.17,3.1306
2014-03-04,3m,0.25,3.1718
2014-03-04,6m,0.5,3.2211
2014-03-04,9m,0.75,3.2154
2014-03-04,1y,1.0,3.3325
2014-03-04,2y,2.0,3.6238
2014-03-04,3y,3.0,3.8051
2014-03-04,4y,4.0,4.1681
2014-03-04,5y,5.0,4.1969
2014-03-04,6y,6.0,4.3918
2014-03-04,7y,7.0,4.3846
2014-03-04,8y,8.0,4.4993
2014-03-04,9y,9.0,4.4806
2014-03-04,10y,10.0,4.5026
2014-03-04,15y,15.0,4.7376
2014-03-04,20y,20.0,4.9678
2014-03-04,30y,30.0,5.0777
2014-03-04,40y,40.0,5.1508
2014-03-04,50y,50.0,5.2047
