,term,term_d,rate
2013-07-16,0d,0.0,2.5294
2013-07-16,1m,0.08,3.4421
2013-07-16,2m,0.17,3.5623
2013-07-16,3m,0.25,3.5699
2013-07-16,6m,0.5,3.542
2013-07-16,9m,0.75,3.4224
2013-07-16,1y,1.0,3.4299
2013-07-16,2y,2.0,3.3081
2013-07-16,3y,3.0,3.3414
2013-07-16,4y,4.0,3.4715
2013-07-16,5y,5.0,3.4391
2013-07-16,6y,6.0,3.5796
2013-07-16,7y,7.0,3.5771
2013-07-16,8y,8.0,3.6181
2013-07-16,9y,9.0,3.6348
2013-07-16,10y,10.0,3.6189999999999998
2013-07-16,15y,15.0,3.804
2013-07-16,20y,20.0,4.0131
2013-07-16,30y,30.0,4.1413
2013-07-16,40y,40.0,4.2199
2013-07-16,50y,50.0,4.2634
