,term,term_d,rate
2015-08-20,0d,0.0,1.2234
2015-08-20,1m,0.08,2.2005
2015-08-20,2m,0.17,2.2691
2015-08-20,3m,0.25,2.2996
2015-08-20,6m,0.5,2.2695
2015-08-20,9m,0.75,2.2547
2015-08-20,1y,1.0,2.2608
2015-08-20,2y,2.0,2.5983
2015-08-20,3y,3.0,2.9211
2015-08-20,4y,4.0,3.1155
2015-08-20,5y,5.0,3.2723
2015-08-20,6y,6.0,3.4526
2015-08-20,7y,7.0,3.5199
2015-08-20,8y,8.0,3.5166
2015-08-20,9y,9.0,3.5104
2015-08-20,10y,10.0,3.5051
2015-08-20,15y,15.0,3.6733
2015-08-20,20y,20.0,3.8398
2015-08-20,30y,30.0,3.9751
2015-08-20,40y,40.0,4.0308
2015-08-20,50y,50.0,4.0766
