,term,term_d,rate
2015-03-04,0d,0.0,2.7307
2015-03-04,1m,0.08,3.2719
2015-03-04,2m,0.17,3.2337
2015-03-04,3m,0.25,3.0811
2015-03-04,6m,0.5,3.0229
2015-03-04,9m,0.75,3.0657
2015-03-04,1y,1.0,3.0291
2015-03-04,2y,2.0,3.0928
2015-03-04,3y,3.0,3.1524
2015-03-04,4y,4.0,3.1983
2015-03-04,5y,5.0,3.2406
2015-03-04,6y,6.0,3.2705
2015-03-04,7y,7.0,3.2926
2015-03-04,8y,8.0,3.3227
2015-03-04,9y,9.0,3.3549
2015-03-04,10y,10.0,3.3869
2015-03-04,15y,15.0,3.6044
2015-03-04,20y,20.0,3.7733
2015-03-04,30y,30.0,3.9327
2015-03-04,40y,40.0,4.0041
2015-03-04,50y,50.0,4.082
