,term,term_d,rate
2014-05-23,0d,0.0,1.6067
2014-05-23,1m,0.08,2.9130000000000003
2014-05-23,2m,0.17,2.9382
2014-05-23,3m,0.25,3.0576
2014-05-23,6m,0.5,3.1529
2014-05-23,9m,0.75,3.4422
2014-05-23,1y,1.0,3.4584
2014-05-23,2y,2.0,3.7133
2014-05-23,3y,3.0,3.945
2014-05-23,4y,4.0,4.0008
2014-05-23,5y,5.0,4.011
2014-05-23,6y,6.0,4.0575
2014-05-23,7y,7.0,4.0948
2014-05-23,8y,8.0,4.1098
2014-05-23,9y,9.0,4.1452
2014-05-23,10y,10.0,4.1574
2014-05-23,15y,15.0,4.3418
2014-05-23,20y,20.0,4.5338
2014-05-23,30y,30.0,4.6296
2014-05-23,40y,40.0,4.7167
2014-05-23,50y,50.0,4.7684
