,term,term_d,rate
2013-09-05,0d,0.0,2.1497
2013-09-05,1m,0.08,3.3912
2013-09-05,2m,0.17,3.5328
2013-09-05,3m,0.25,3.6616
2013-09-05,6m,0.5,3.6163
2013-09-05,9m,0.75,3.6124
2013-09-05,1y,1.0,3.6055
2013-09-05,2y,2.0,3.9094
2013-09-05,3y,3.0,3.9303
2013-09-05,4y,4.0,3.9494
2013-09-05,5y,5.0,3.9564
2013-09-05,6y,6.0,4.0096
2013-09-05,7y,7.0,4.0105
2013-09-05,8y,8.0,4.0289
2013-09-05,9y,9.0,4.0503
2013-09-05,10y,10.0,4.055
2013-09-05,15y,15.0,4.1352
2013-09-05,20y,20.0,4.3381
2013-09-05,30y,30.0,4.3594
2013-09-05,40y,40.0,4.3807
2013-09-05,50y,50.0,4.3996
