,term,term_d,rate
2011-02-11,0d,0.0,2.2147
2011-02-11,1m,0.08,2.6446
2011-02-11,2m,0.17,2.9509
2011-02-11,3m,0.25,2.9915
2011-02-11,6m,0.5,3.0676
2011-02-11,9m,0.75,3.112
2011-02-11,1y,1.0,3.2
2011-02-11,2y,2.0,3.3166
2011-02-11,3y,3.0,3.4235
2011-02-11,4y,4.0,3.5867
2011-02-11,5y,5.0,3.7127
2011-02-11,6y,6.0,3.8731
2011-02-11,7y,7.0,3.8834
2011-02-11,8y,8.0,3.937
2011-02-11,9y,9.0,4.0172
2011-02-11,10y,10.0,4.1062
2011-02-11,15y,15.0,4.2299
2011-02-11,20y,20.0,4.2822
2011-02-11,30y,30.0,4.377
2011-02-11,40y,40.0,4.428999999999999
2011-02-11,50y,50.0,4.4936
