,term,term_d,rate
2013-10-14,0d,0.0,2.2727
2013-10-14,1m,0.08,3.8058
2013-10-14,2m,0.17,3.7493
2013-10-14,3m,0.25,3.5232
2013-10-14,6m,0.5,3.4356
2013-10-14,9m,0.75,3.4966
2013-10-14,1y,1.0,3.5427
2013-10-14,2y,2.0,3.696
2013-10-14,3y,3.0,3.8125
2013-10-14,4y,4.0,3.8574
2013-10-14,5y,5.0,3.9074
2013-10-14,6y,6.0,4.0522
2013-10-14,7y,7.0,4.0568
2013-10-14,8y,8.0,4.0506
2013-10-14,9y,9.0,4.0497
2013-10-14,10y,10.0,4.0663
2013-10-14,15y,15.0,4.3153
2013-10-14,20y,20.0,4.5191
2013-10-14,30y,30.0,4.7199
2013-10-14,40y,40.0,4.7629
2013-10-14,50y,50.0,4.7778
