,term,term_d,rate
2015-06-18,0d,0.0,0.8454
2015-06-18,1m,0.08,1.8224
2015-06-18,2m,0.17,1.9257
2015-06-18,3m,0.25,1.8022
2015-06-18,6m,0.5,1.8611
2015-06-18,9m,0.75,1.7306
2015-06-18,1y,1.0,1.7044
2015-06-18,2y,2.0,2.3682
2015-06-18,3y,3.0,2.8998
2015-06-18,4y,4.0,3.1295
2015-06-18,5y,5.0,3.2044
2015-06-18,6y,6.0,3.3594
2015-06-18,7y,7.0,3.4926
2015-06-18,8y,8.0,3.5411
2015-06-18,9y,9.0,3.5584
2015-06-18,10y,10.0,3.573
2015-06-18,15y,15.0,3.74
2015-06-18,20y,20.0,3.9236
2015-06-18,30y,30.0,4.0201
2015-06-18,40y,40.0,4.0757
2015-06-18,50y,50.0,4.1165
