,term,term_d,rate
2014-11-18,0d,0.0,2.0727
2014-11-18,1m,0.08,3.1056
2014-11-18,2m,0.17,3.1695
2014-11-18,3m,0.25,3.1986
2014-11-18,6m,0.5,3.1801
2014-11-18,9m,0.75,3.1805
2014-11-18,1y,1.0,3.1522
2014-11-18,2y,2.0,3.2393
2014-11-18,3y,3.0,3.3204
2014-11-18,4y,4.0,3.3936
2014-11-18,5y,5.0,3.4637
2014-11-18,6y,6.0,3.5207
2014-11-18,7y,7.0,3.5649
2014-11-18,8y,8.0,3.5885
2014-11-18,9y,9.0,3.5966
2014-11-18,10y,10.0,3.6069999999999998
2014-11-18,15y,15.0,3.8255
2014-11-18,20y,20.0,4.0154
2014-11-18,30y,30.0,4.1057
2014-11-18,40y,40.0,4.1785
2014-11-18,50y,50.0,4.2327
