,term,term_d,rate
2011-08-04,0d,0.0,1.9314
2011-08-04,1m,0.08,2.5973
2011-08-04,2m,0.17,3.1827
2011-08-04,3m,0.25,3.3424
2011-08-04,6m,0.5,3.6103
2011-08-04,9m,0.75,3.699
2011-08-04,1y,1.0,3.7059
2011-08-04,2y,2.0,3.7263
2011-08-04,3y,3.0,3.753
2011-08-04,4y,4.0,3.8338
2011-08-04,5y,5.0,3.9568
2011-08-04,6y,6.0,3.9737
2011-08-04,7y,7.0,3.9975
2011-08-04,8y,8.0,4.0425
2011-08-04,9y,9.0,4.0828
2011-08-04,10y,10.0,4.0911
2011-08-04,15y,15.0,4.269
2011-08-04,20y,20.0,4.5034
2011-08-04,30y,30.0,4.5982
2011-08-04,40y,40.0,4.6789
2011-08-04,50y,50.0,4.7389
