,term,term_d,rate
2012-11-20,0d,0.0,1.8068
2012-11-20,1m,0.08,2.5063
2012-11-20,2m,0.17,2.8213
2012-11-20,3m,0.25,2.8277
2012-11-20,6m,0.5,2.8055
2012-11-20,9m,0.75,2.8053
2012-11-20,1y,1.0,2.8263
2012-11-20,2y,2.0,2.9697
2012-11-20,3y,3.0,2.9965
2012-11-20,4y,4.0,3.0906
2012-11-20,5y,5.0,3.1286
2012-11-20,6y,6.0,3.3003
2012-11-20,7y,7.0,3.4143
2012-11-20,8y,8.0,3.4579
2012-11-20,9y,9.0,3.4895
2012-11-20,10y,10.0,3.5111
2012-11-20,15y,15.0,3.8177
2012-11-20,20y,20.0,4.0826
2012-11-20,30y,30.0,4.1884
2012-11-20,40y,40.0,4.2714
2012-11-20,50y,50.0,4.3257
