,term,term_d,rate
2015-04-16,0d,0.0,1.7877
2015-04-16,1m,0.08,3.1136
2015-04-16,2m,0.17,3.0652
2015-04-16,3m,0.25,3.0498
2015-04-16,6m,0.5,3.0501
2015-04-16,9m,0.75,3.0579
2015-04-16,1y,1.0,3.0729
2015-04-16,2y,2.0,3.1358
2015-04-16,3y,3.0,3.1988
2015-04-16,4y,4.0,3.3019
2015-04-16,5y,5.0,3.4207
2015-04-16,6y,6.0,3.4931
2015-04-16,7y,7.0,3.5329
2015-04-16,8y,8.0,3.5499
2015-04-16,9y,9.0,3.5563
2015-04-16,10y,10.0,3.56
2015-04-16,15y,15.0,3.824
2015-04-16,20y,20.0,4.0664
2015-04-16,30y,30.0,4.1963
2015-04-16,40y,40.0,4.2825
2015-04-16,50y,50.0,4.3364
