,term,term_d,rate
2013-08-20,0d,0.0,3.1137
2013-08-20,1m,0.08,3.9432
2013-08-20,2m,0.17,3.736
2013-08-20,3m,0.25,3.5466
2013-08-20,6m,0.5,3.6495
2013-08-20,9m,0.75,3.6287
2013-08-20,1y,1.0,3.6241
2013-08-20,2y,2.0,3.8560000000000003
2013-08-20,3y,3.0,3.9081
2013-08-20,4y,4.0,3.9524
2013-08-20,5y,5.0,3.9868
2013-08-20,6y,6.0,4.0089
2013-08-20,7y,7.0,4.0147
2013-08-20,8y,8.0,4.0178
2013-08-20,9y,9.0,4.0396
2013-08-20,10y,10.0,4.0881
2013-08-20,15y,15.0,4.1448
2013-08-20,20y,20.0,4.3401
2013-08-20,30y,30.0,4.354
2013-08-20,40y,40.0,4.3706
2013-08-20,50y,50.0,4.3889
