,term,term_d,rate
2011-12-27,0d,0.0,1.9836
2011-12-27,1m,0.08,2.4439
2011-12-27,2m,0.17,2.7260000000000004
2011-12-27,3m,0.25,2.7302
2011-12-27,6m,0.5,2.6502
2011-12-27,9m,0.75,2.6272
2011-12-27,1y,1.0,2.7316
2011-12-27,2y,2.0,2.8483
2011-12-27,3y,3.0,2.927
2011-12-27,4y,4.0,3.0501
2011-12-27,5y,5.0,3.0865
2011-12-27,6y,6.0,3.3505
2011-12-27,7y,7.0,3.3656
2011-12-27,8y,8.0,3.4541
2011-12-27,9y,9.0,3.4593
2011-12-27,10y,10.0,3.4603
2011-12-27,15y,15.0,3.7152
2011-12-27,20y,20.0,3.938
2011-12-27,30y,30.0,4.0694
2011-12-27,40y,40.0,4.1566
2011-12-27,50y,50.0,4.2459
