,term,term_d,rate
2012-10-29,0d,0.0,3.0538
2012-10-29,1m,0.08,2.9426
2012-10-29,2m,0.17,2.8755
2012-10-29,3m,0.25,2.9203
2012-10-29,6m,0.5,2.9015
2012-10-29,9m,0.75,2.9095
2012-10-29,1y,1.0,2.9848
2012-10-29,2y,2.0,3.0194
2012-10-29,3y,3.0,3.0793
2012-10-29,4y,4.0,3.2012
2012-10-29,5y,5.0,3.2228
2012-10-29,6y,6.0,3.405
2012-10-29,7y,7.0,3.4798
2012-10-29,8y,8.0,3.5057
2012-10-29,9y,9.0,3.5363
2012-10-29,10y,10.0,3.5668
2012-10-29,15y,15.0,3.8521
2012-10-29,20y,20.0,4.123
2012-10-29,30y,30.0,4.2113
2012-10-29,40y,40.0,4.279
2012-10-29,50y,50.0,4.3213
