,term,term_d,rate
2011-03-16,0d,0.0,1.153
2011-03-16,1m,0.08,1.8223
2011-03-16,2m,0.17,2.3379
2011-03-16,3m,0.25,2.4930000000000003
2011-03-16,6m,0.5,2.696
2011-03-16,9m,0.75,2.7794
2011-03-16,1y,1.0,2.8986
2011-03-16,2y,2.0,3.1726
2011-03-16,3y,3.0,3.2511
2011-03-16,4y,4.0,3.398
2011-03-16,5y,5.0,3.5063
2011-03-16,6y,6.0,3.6688
2011-03-16,7y,7.0,3.693
2011-03-16,8y,8.0,3.8
2011-03-16,9y,9.0,3.8449
2011-03-16,10y,10.0,3.86
2011-03-16,15y,15.0,4.064
2011-03-16,20y,20.0,4.1729
2011-03-16,30y,30.0,4.2867
2011-03-16,40y,40.0,4.3636
2011-03-16,50y,50.0,4.4289
