,term,term_d,rate
2013-11-21,0d,0.0,3.0487
2013-11-21,1m,0.08,4.921
2013-11-21,2m,0.17,4.4097
2013-11-21,3m,0.25,4.505
2013-11-21,6m,0.5,4.1917
2013-11-21,9m,0.75,4.2012
2013-11-21,1y,1.0,4.156000000000001
2013-11-21,2y,2.0,4.3567
2013-11-21,3y,3.0,4.4507
2013-11-21,4y,4.0,4.5411
2013-11-21,5y,5.0,4.495
2013-11-21,6y,6.0,4.6503
2013-11-21,7y,7.0,4.6156
2013-11-21,8y,8.0,4.6741
2013-11-21,9y,9.0,4.6791
2013-11-21,10y,10.0,4.7009
2013-11-21,15y,15.0,4.8882
2013-11-21,20y,20.0,5.0564
2013-11-21,30y,30.0,5.1244
2013-11-21,40y,40.0,5.2519
2013-11-21,50y,50.0,5.3168
