,term,term_d,rate
2011-08-10,0d,0.0,2.1388
2011-08-10,1m,0.08,2.6001
2011-08-10,2m,0.17,3.0614
2011-08-10,3m,0.25,3.2268
2011-08-10,6m,0.5,3.4544
2011-08-10,9m,0.75,3.5197
2011-08-10,1y,1.0,3.5821
2011-08-10,2y,2.0,3.6379
2011-08-10,3y,3.0,3.6591
2011-08-10,4y,4.0,3.765
2011-08-10,5y,5.0,3.8329
2011-08-10,6y,6.0,3.8787
2011-08-10,7y,7.0,3.918
2011-08-10,8y,8.0,3.9466
2011-08-10,9y,9.0,3.9589
2011-08-10,10y,10.0,3.9639
2011-08-10,15y,15.0,4.2059
2011-08-10,20y,20.0,4.4466
2011-08-10,30y,30.0,4.535
2011-08-10,40y,40.0,4.6367
2011-08-10,50y,50.0,4.7081
