,term,term_d,rate
2012-06-11,0d,0.0,1.5576
2012-06-11,1m,0.08,1.8327
2012-06-11,2m,0.17,2.0377
2012-06-11,3m,0.25,2.0711
2012-06-11,6m,0.5,2.1099
2012-06-11,9m,0.75,2.1683
2012-06-11,1y,1.0,2.1779
2012-06-11,2y,2.0,2.3453
2012-06-11,3y,3.0,2.4233
2012-06-11,4y,4.0,2.6291
2012-06-11,5y,5.0,2.9186
2012-06-11,6y,6.0,3.1169
2012-06-11,7y,7.0,3.1709
2012-06-11,8y,8.0,3.3286
2012-06-11,9y,9.0,3.3461
2012-06-11,10y,10.0,3.3491
2012-06-11,15y,15.0,3.6608
2012-06-11,20y,20.0,3.9362
2012-06-11,30y,30.0,4.0976
2012-06-11,40y,40.0,4.1596
2012-06-11,50y,50.0,4.237
