,term,term_d,rate
2015-07-22,0d,0.0,1.0164
2015-07-22,1m,0.08,2.0246
2015-07-22,2m,0.17,2.1336
2015-07-22,3m,0.25,2.2183
2015-07-22,6m,0.5,2.394
2015-07-22,9m,0.75,2.3881
2015-07-22,1y,1.0,2.4071
2015-07-22,2y,2.0,2.63
2015-07-22,3y,3.0,2.8485
2015-07-22,4y,4.0,3.0135
2015-07-22,5y,5.0,3.1586
2015-07-22,6y,6.0,3.3682
2015-07-22,7y,7.0,3.4825
2015-07-22,8y,8.0,3.502
2015-07-22,9y,9.0,3.51
2015-07-22,10y,10.0,3.5145
2015-07-22,15y,15.0,3.7059
2015-07-22,20y,20.0,3.7978
2015-07-22,30y,30.0,3.9615
2015-07-22,40y,40.0,4.0169
2015-07-22,50y,50.0,4.0577
