,term,term_d,rate
2013-01-28,0d,0.0,1.3046
2013-01-28,1m,0.08,2.085
2013-01-28,2m,0.17,2.6132
2013-01-28,3m,0.25,2.6633
2013-01-28,6m,0.5,2.7135
2013-01-28,9m,0.75,2.7676
2013-01-28,1y,1.0,2.8495
2013-01-28,2y,2.0,3.0431
2013-01-28,3y,3.0,3.139
2013-01-28,4y,4.0,3.2232
2013-01-28,5y,5.0,3.2551
2013-01-28,6y,6.0,3.4364
2013-01-28,7y,7.0,3.4884
2013-01-28,8y,8.0,3.5225
2013-01-28,9y,9.0,3.5619
2013-01-28,10y,10.0,3.6042
2013-01-28,15y,15.0,3.8708
2013-01-28,20y,20.0,4.1119
2013-01-28,30y,30.0,4.2109
2013-01-28,40y,40.0,4.2978
2013-01-28,50y,50.0,4.3575
