,term,term_d,rate
2015-05-07,0d,0.0,1.1127
2015-05-07,1m,0.08,2.3886
2015-05-07,2m,0.17,2.426
2015-05-07,3m,0.25,2.5419
2015-05-07,6m,0.5,2.7402
2015-05-07,9m,0.75,2.6871
2015-05-07,1y,1.0,2.6912
2015-05-07,2y,2.0,2.9164
2015-05-07,3y,3.0,3.1273
2015-05-07,4y,4.0,3.2237
2015-05-07,5y,5.0,3.2828
2015-05-07,6y,6.0,3.3905
2015-05-07,7y,7.0,3.44
2015-05-07,8y,8.0,3.44
2015-05-07,9y,9.0,3.44
2015-05-07,10y,10.0,3.4401
2015-05-07,15y,15.0,3.7299
2015-05-07,20y,20.0,4.0513
2015-05-07,30y,30.0,4.2098
2015-05-07,40y,40.0,4.2463
2015-05-07,50y,50.0,4.3001
