,term,term_d,rate
2014-10-28,0d,0.0,2.1207
2014-10-28,1m,0.08,3.3068
2014-10-28,2m,0.17,3.3491
2014-10-28,3m,0.25,3.4542
2014-10-28,6m,0.5,3.4366
2014-10-28,9m,0.75,3.4063
2014-10-28,1y,1.0,3.4163
2014-10-28,2y,2.0,3.4560000000000004
2014-10-28,3y,3.0,3.4954
2014-10-28,4y,4.0,3.5257
2014-10-28,5y,5.0,3.5519
2014-10-28,6y,6.0,3.66
2014-10-28,7y,7.0,3.7286
2014-10-28,8y,8.0,3.7356
2014-10-28,9y,9.0,3.7391
2014-10-28,10y,10.0,3.7424
2014-10-28,15y,15.0,3.9613
2014-10-28,20y,20.0,4.1512
2014-10-28,30y,30.0,4.2449
2014-10-28,40y,40.0,4.3503
2014-10-28,50y,50.0,4.4045
