,term,term_d,rate
2011-04-06,0d,0.0,1.2555
2011-04-06,1m,0.08,1.9208
2011-04-06,2m,0.17,2.4757
2011-04-06,3m,0.25,2.6342
2011-04-06,6m,0.5,2.7161
2011-04-06,9m,0.75,2.7644
2011-04-06,1y,1.0,2.859
2011-04-06,2y,2.0,3.1562
2011-04-06,3y,3.0,3.2412
2011-04-06,4y,4.0,3.4556
2011-04-06,5y,5.0,3.5316
2011-04-06,6y,6.0,3.6971
2011-04-06,7y,7.0,3.737
2011-04-06,8y,8.0,3.8586
2011-04-06,9y,9.0,3.9032
2011-04-06,10y,10.0,3.9203
2011-04-06,15y,15.0,4.0518
2011-04-06,20y,20.0,4.1648
2011-04-06,30y,30.0,4.2911
2011-04-06,40y,40.0,4.3708
2011-04-06,50y,50.0,4.4365
