,term,term_d,rate
2012-08-29,0d,0.0,1.5438
2012-08-29,1m,0.08,2.1802
2012-08-29,2m,0.17,2.562
2012-08-29,3m,0.25,2.5469
2012-08-29,6m,0.5,2.5623
2012-08-29,9m,0.75,2.6631
2012-08-29,1y,1.0,2.6963
2012-08-29,2y,2.0,2.8408
2012-08-29,3y,3.0,2.9784
2012-08-29,4y,4.0,3.0355
2012-08-29,5y,5.0,3.0815
2012-08-29,6y,6.0,3.1762
2012-08-29,7y,7.0,3.2489999999999997
2012-08-29,8y,8.0,3.3324
2012-08-29,9y,9.0,3.3832
2012-08-29,10y,10.0,3.3943
2012-08-29,15y,15.0,3.6695
2012-08-29,20y,20.0,3.9451
2012-08-29,30y,30.0,4.1657
2012-08-29,40y,40.0,4.1951
2012-08-29,50y,50.0,4.2586
