,term,term_d,rate
2013-09-23,0d,0.0,2.9746
2013-09-23,1m,0.08,4.1968
2013-09-23,2m,0.17,3.88
2013-09-23,3m,0.25,3.7316
2013-09-23,6m,0.5,3.5538
2013-09-23,9m,0.75,3.5302
2013-09-23,1y,1.0,3.5881
2013-09-23,2y,2.0,3.8196
2013-09-23,3y,3.0,3.8697
2013-09-23,4y,4.0,3.9366
2013-09-23,5y,5.0,3.9362
2013-09-23,6y,6.0,4.0193
2013-09-23,7y,7.0,4.0202
2013-09-23,8y,8.0,4.0247
2013-09-23,9y,9.0,4.0248
2013-09-23,10y,10.0,4.0095
2013-09-23,15y,15.0,4.2812
2013-09-23,20y,20.0,4.4956
2013-09-23,30y,30.0,4.6711
2013-09-23,40y,40.0,4.6829
2013-09-23,50y,50.0,4.6978
