,term,term_d,rate
2014-09-12,0d,0.0,2.3797
2014-09-12,1m,0.08,3.4289
2014-09-12,2m,0.17,3.5305
2014-09-12,3m,0.25,3.5839
2014-09-12,6m,0.5,3.815
2014-09-12,9m,0.75,3.8224
2014-09-12,1y,1.0,3.8225
2014-09-12,2y,2.0,3.9532
2014-09-12,3y,3.0,4.0112
2014-09-12,4y,4.0,4.0144
2014-09-12,5y,5.0,4.0267
2014-09-12,6y,6.0,4.1004
2014-09-12,7y,7.0,4.21
2014-09-12,8y,8.0,4.2344
2014-09-12,9y,9.0,4.2614
2014-09-12,10y,10.0,4.2793
2014-09-12,15y,15.0,4.4624
2014-09-12,20y,20.0,4.6509
2014-09-12,30y,30.0,4.7824
2014-09-12,40y,40.0,4.8607
2014-09-12,50y,50.0,4.9049
