,term,term_d,rate
2013-05-21,0d,0.0,2.8064
2013-05-21,1m,0.08,3.4538
2013-05-21,2m,0.17,2.7595
2013-05-21,3m,0.25,2.7719
2013-05-21,6m,0.5,2.7925
2013-05-21,9m,0.75,2.8561
2013-05-21,1y,1.0,2.8812
2013-05-21,2y,2.0,3.0352
2013-05-21,3y,3.0,3.0831
2013-05-21,4y,4.0,3.1208
2013-05-21,5y,5.0,3.1436
2013-05-21,6y,6.0,3.3437
2013-05-21,7y,7.0,3.3451
2013-05-21,8y,8.0,3.3685
2013-05-21,9y,9.0,3.424
2013-05-21,10y,10.0,3.4253
2013-05-21,15y,15.0,3.7095
2013-05-21,20y,20.0,3.9742
2013-05-21,30y,30.0,4.1277
2013-05-21,40y,40.0,4.2063
2013-05-21,50y,50.0,4.2668
