,term,term_d,rate
2011-11-07,0d,0.0,2.4364
2011-11-07,1m,0.08,2.7564
2011-11-07,2m,0.17,2.9542
2011-11-07,3m,0.25,2.9583
2011-11-07,6m,0.5,2.9643
2011-11-07,9m,0.75,2.9918
2011-11-07,1y,1.0,2.9901
2011-11-07,2y,2.0,3.2544
2011-11-07,3y,3.0,3.3805
2011-11-07,4y,4.0,3.4621
2011-11-07,5y,5.0,3.5024
2011-11-07,6y,6.0,3.6161
2011-11-07,7y,7.0,3.6382
2011-11-07,8y,8.0,3.7001
2011-11-07,9y,9.0,3.7317
2011-11-07,10y,10.0,3.7333
2011-11-07,15y,15.0,3.9301
2011-11-07,20y,20.0,4.0739
2011-11-07,30y,30.0,4.1945
2011-11-07,40y,40.0,4.2825
2011-11-07,50y,50.0,4.3761
