,term,term_d,rate
2013-04-03,0d,0.0,1.5776
2013-04-03,1m,0.08,2.2772
2013-04-03,2m,0.17,2.6991
2013-04-03,3m,0.25,2.6485
2013-04-03,6m,0.5,2.6271
2013-04-03,9m,0.75,2.6232
2013-04-03,1y,1.0,2.6741
2013-04-03,2y,2.0,2.9706
2013-04-03,3y,3.0,3.0255
2013-04-03,4y,4.0,3.2085
2013-04-03,5y,5.0,3.2305
2013-04-03,6y,6.0,3.3943
2013-04-03,7y,7.0,3.4153
2013-04-03,8y,8.0,3.4896
2013-04-03,9y,9.0,3.4986
2013-04-03,10y,10.0,3.5005
2013-04-03,15y,15.0,3.8104
2013-04-03,20y,20.0,4.0609
2013-04-03,30y,30.0,4.181
2013-04-03,40y,40.0,4.2621
2013-04-03,50y,50.0,4.3348
