,term,term_d,rate
2015-09-17,0d,0.0,1.4048
2015-09-17,1m,0.08,2.1669
2015-09-17,2m,0.17,2.1523
2015-09-17,3m,0.25,2.197
2015-09-17,6m,0.5,2.2507
2015-09-17,9m,0.75,2.2468
2015-09-17,1y,1.0,2.3062
2015-09-17,2y,2.0,2.6614
2015-09-17,3y,3.0,2.9822
2015-09-17,4y,4.0,3.1069
2015-09-17,5y,5.0,3.1666
2015-09-17,6y,6.0,3.2773
2015-09-17,7y,7.0,3.32
2015-09-17,8y,8.0,3.32
2015-09-17,9y,9.0,3.32
2015-09-17,10y,10.0,3.3204
2015-09-17,15y,15.0,3.4893
2015-09-17,20y,20.0,3.6839
2015-09-17,30y,30.0,3.7969999999999997
2015-09-17,40y,40.0,3.8532
2015-09-17,50y,50.0,3.8989999999999996
