,code,display_name,date,weight
0,002299.XSHE,圣农发展,2012-03-01,0.109
1,002344.XSHE,海宁皮城,2012-03-01,0.07400000000000001
2,002378.XSHE,章源钨业,2012-03-01,0.045
3,002431.XSHE,棕榈园林,2012-03-01,0.076
4,600160.XSHG,巨化股份,2012-03-01,0.158
5,600259.XSHG,广晟有色,2012-03-01,0.157
6,600498.XSHG,烽火通信,2012-03-01,0.122
7,600783.XSHG,鲁信创投,2012-03-01,0.084
8,601099.XSHG,太平洋,2012-03-01,0.065
9,601992.XSHG,金隅股份,2012-03-01,0.121
10,601991.XSHG,大唐发电,2012-03-01,0.218
11,601258.XSHG,庞大集团,2012-03-01,0.105
12,601233.XSHG,桐昆股份,2012-03-01,0.075
13,601216.XSHG,内蒙君正,2012-03-01,0.045
14,600873.XSHG,梅花集团,2012-03-01,0.083
15,600770.XSHG,综艺股份,2012-03-01,0.138
16,600372.XSHG,中航电子,2012-03-01,0.139
17,600252.XSHG,中恒集团,2012-03-01,0.182
18,600098.XSHG,广州控股,2012-03-01,0.084
19,002603.XSHE,以岭药业,2012-03-01,0.057
20,002594.XSHE,比亚迪,2012-03-01,0.04
21,000581.XSHE,威孚高科,2012-03-01,0.267
22,000629.XSHE,攀钢钒钛,2012-03-01,0.407
23,002038.XSHE,双鹭药业,2012-03-01,0.125
24,600000.XSHG,浦发银行,2012-03-01,2.103
25,600005.XSHG,武钢股份,2012-03-01,0.253
26,600008.XSHG,首创股份,2012-03-01,0.12
27,600009.XSHG,上海机场,2012-03-01,0.251
28,600010.XSHG,包钢股份,2012-03-01,0.263
29,600015.XSHG,华夏银行,2012-03-01,0.777
30,600016.XSHG,民生银行,2012-03-01,2.929
31,600019.XSHG,宝钢股份,2012-03-01,0.541
32,600026.XSHG,中海发展,2012-03-01,0.083
33,600028.XSHG,中国石化,2012-03-01,0.62
34,600029.XSHG,南方航空,2012-03-01,0.22
35,600030.XSHG,中信证券,2012-03-01,1.606
36,600031.XSHG,三一重工,2012-03-01,0.8690000000000001
37,600036.XSHG,招商银行,2012-03-01,3.142
