code,display_name,date,weight
000413.XSHE,东旭光电,2015-09-11,0.147
600315.XSHG,上海家化,2015-09-11,0.21
600316.XSHG,洪都航空,2015-09-11,0.113
600317.XSHG,营口港,2015-09-11,0.119
600252.XSHG,中恒集团,2015-09-11,0.191
002570.XSHE,*ST因美,2015-09-11,0.068
000825.XSHE,太钢不锈,2015-09-11,0.12
000826.XSHE,启迪桑德,2015-09-11,0.2
600256.XSHG,广汇能源,2015-09-11,0.254
000709.XSHE,河钢股份,2015-09-11,0.216
000559.XSHE,万向钱潮,2015-09-11,0.227
000156.XSHE,华数传媒,2015-09-11,0.041
000157.XSHE,中联重科,2015-09-11,0.289
000623.XSHE,吉林敖东,2015-09-11,0.203
002375.XSHE,亚厦股份,2015-09-11,0.111
000629.XSHE,攀钢钒钛,2015-09-11,0.176
600893.XSHG,航发动力,2015-09-11,0.317
600783.XSHG,鲁信创投,2015-09-11,0.068
600089.XSHG,特变电工,2015-09-11,0.341
002415.XSHE,海康威视,2015-09-11,0.453
600085.XSHG,同仁堂,2015-09-11,0.195
000792.XSHE,盐湖股份,2015-09-11,0.133
600005.XSHG,武钢股份,2015-09-11,0.204
300027.XSHE,华谊兄弟,2015-09-11,0.441
600340.XSHG,华夏幸福,2015-09-11,0.312
600000.XSHG,浦发银行,2015-09-11,1.918
600648.XSHG,外高桥,2015-09-11,0.08
600649.XSHG,城投控股,2015-09-11,0.224
300124.XSHE,汇川技术,2015-09-11,0.201
600415.XSHG,小商品城,2015-09-11,0.273
601633.XSHG,长城汽车,2015-09-11,0.13
600008.XSHG,首创股份,2015-09-11,0.106
600009.XSHG,上海机场,2015-09-11,0.301
600066.XSHG,宇通客车,2015-09-11,0.286
002051.XSHE,中工国际,2015-09-11,0.087
600060.XSHG,海信电器,2015-09-11,0.134
000937.XSHE,冀中能源,2015-09-11,0.063
601988.XSHG,中国银行,2015-09-11,1.025
601989.XSHG,中国重工,2015-09-11,1.304
000738.XSHE,航发控制,2015-09-11,0.158
600958.XSHG,东方证券,2015-09-11,0.201
600068.XSHG,葛洲坝,2015-09-11,0.242
000423.XSHE,东阿阿胶,2015-09-11,0.261
600660.XSHG,福耀玻璃,2015-09-11,0.195
601225.XSHG,陕西煤业,2015-09-11,0.115
300251.XSHE,光线传媒,2015-09-11,0.12
000630.XSHE,铜陵有色,2015-09-11,0.148
600998.XSHG,九州通,2015-09-11,0.069
601390.XSHG,中国中铁,2015-09-11,0.742
601377.XSHG,兴业证券,2015-09-11,0.386
600718.XSHG,东软集团,2015-09-11,0.147
600023.XSHG,浙能电力,2015-09-11,0.243
601398.XSHG,工商银行,2015-09-11,1.165
601021.XSHG,春秋航空,2015-09-11,0.135
600153.XSHG,建发股份,2015-09-11,0.337
600150.XSHG,中国船舶,2015-09-11,0.299
601866.XSHG,中远海发,2015-09-11,0.317
000024.XSHE,招商地产,2015-09-11,0.375
600157.XSHG,永泰能源,2015-09-11,0.185
000027.XSHE,深圳能源,2015-09-11,0.141
600867.XSHG,通化东宝,2015-09-11,0.191
600717.XSHG,天津港,2015-09-11,0.098
600863.XSHG,内蒙华电,2015-09-11,0.168
600100.XSHG,同方股份,2015-09-11,0.309
600398.XSHG,海澜之家,2015-09-11,0.238
600795.XSHG,国电电力,2015-09-11,0.491
600011.XSHG,华能国际,2015-09-11,0.436
600010.XSHG,包钢股份,2015-09-11,0.443
600016.XSHG,民生银行,2015-09-11,2.901
600015.XSHG,华夏银行,2015-09-11,0.635
601318.XSHG,中国平安,2015-09-11,3.759
600019.XSHG,宝钢股份,2015-09-11,0.323
600018.XSHG,上港集团,2015-09-11,0.229
600549.XSHG,厦门钨业,2015-09-11,0.08
601258.XSHG,庞大集团,2015-09-11,0.157
601991.XSHG,大唐发电,2015-09-11,0.195
600369.XSHG,西南证券,2015-09-11,0.257
601992.XSHG,金隅集团,2015-09-11,0.102
000725.XSHE,京东方A,2015-09-11,0.358
600372.XSHG,中航电子,2015-09-11,0.16
600373.XSHG,中文传媒,2015-09-11,0.142
000538.XSHE,云南白药,2015-09-11,0.414
000539.XSHE,粤电力A,2015-09-11,0.075
000400.XSHE,许继电气,2015-09-11,0.13
000686.XSHE,东北证券,2015-09-11,0.153
000338.XSHE,潍柴动力,2015-09-11,0.261
002024.XSHE,苏宁易购,2015-09-11,0.731
600547.XSHG,山东黄金,2015-09-11,0.144
600873.XSHG,梅花生物,2015-09-11,0.221
601919.XSHG,中远海控,2015-09-11,0.407
002594.XSHE,比亚迪,2015-09-11,0.267
600383.XSHG,金地集团,2015-09-11,0.27
600900.XSHG,长江电力,2015-09-11,0.814
000039.XSHE,中集集团,2015-09-11,0.193
601857.XSHG,中国石油,2015-09-11,0.497
600703.XSHG,三安光电,2015-09-11,0.357
000983.XSHE,西山煤电,2015-09-11,0.106
600999.XSHG,招商证券,2015-09-11,0.425
002292.XSHE,奥飞娱乐,2015-09-11,0.178
000783.XSHE,长江证券,2015-09-11,0.359
600705.XSHG,中航资本,2015-09-11,0.41
002450.XSHE,ST康得新,2015-09-11,0.505
600570.XSHG,恒生电子,2015-09-11,0.282
002153.XSHE,石基信息,2015-09-11,0.139
002065.XSHE,东华软件,2015-09-11,0.162
601158.XSHG,重庆水务,2015-09-11,0.059
000831.XSHE,五矿稀土,2015-09-11,0.113
600578.XSHG,京能电力,2015-09-11,0.097
600663.XSHG,陆家嘴,2015-09-11,0.198
300003.XSHE,乐普医疗,2015-09-11,0.184
601099.XSHG,太平洋,2015-09-11,0.204
000839.XSHE,中信国安,2015-09-11,0.252
300015.XSHE,爱尔眼科,2015-09-11,0.121
000625.XSHE,长安汽车,2015-09-11,0.373
002475.XSHE,立讯精密,2015-09-11,0.167
600688.XSHG,上海石化,2015-09-11,0.166
002344.XSHE,海宁皮城,2015-09-11,0.086
002252.XSHE,上海莱士,2015-09-11,0.242
600352.XSHG,浙江龙盛,2015-09-11,0.273
600048.XSHG,保利地产,2015-09-11,0.62
600362.XSHG,江西铜业,2015-09-11,0.13
600208.XSHG,新湖中宝,2015-09-11,0.141
000917.XSHE,电广传媒,2015-09-11,0.556
603288.XSHG,海天味业,2015-09-11,0.093
000750.XSHE,国海证券,2015-09-11,0.156
000999.XSHE,华润三九,2015-09-11,0.117
601628.XSHG,中国人寿,2015-09-11,0.485
601928.XSHG,凤凰传媒,2015-09-11,0.116
002038.XSHE,双鹭药业,2015-09-11,0.132
002470.XSHE,金正大,2015-09-11,0.128
601009.XSHG,南京银行,2015-09-11,0.363
600674.XSHG,川投能源,2015-09-11,0.276
603993.XSHG,洛阳钼业,2015-09-11,0.122
300146.XSHE,汤臣倍健,2015-09-11,0.099
002422.XSHE,科伦药业,2015-09-11,0.135
600177.XSHG,雅戈尔,2015-09-11,0.234
000046.XSHE,泛海控股,2015-09-11,0.169
601006.XSHG,大秦铁路,2015-09-11,0.686
601168.XSHG,西部矿业,2015-09-11,0.147
601169.XSHG,北京银行,2015-09-11,1.092
600271.XSHG,航天信息,2015-09-11,0.294
601098.XSHG,中南传媒,2015-09-11,0.152
600277.XSHG,亿利洁能,2015-09-11,0.174
600276.XSHG,恒瑞医药,2015-09-11,0.597
